Title
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing by Marie Kondō
Eat That Frog! 21 Ways to Stop Procrastinating and Get More Done in Less Time by Brian Tracy
12 Rules For Life: An Antidote to Chaos by Jordan B. Peterson
Deep Work: Rules for Focused Success in a Distracted World by Cal Newport
"Dare to Lead: Brave Work. Tough Conversations. Whole Hearts by Brené Brown, Ph.D."
Rich Dad Poor Dad: What The Rich Teach Their Kids About Money — That the Poor and Middle Class Do Not! by Robert Kiyosaki
The 5 Love Languages: The Secret to Love that Lasts by Gary D. Chapman
"How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease by Michael Greger, Gene Stone"
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life by Jen Sincero
The Subtle Art of Not Giving a Fuck by Mark Manson
How to Stop Procrastinating: A Simple Guide to Mastering Difficult Tasks and Breaking the Procrastination Habit by S.J. Scott
Money Honey: A Simple 7-Step Guide For Getting Your Financial $hit Together by Rachel Richards
Company of One: Why Staying Small Is the Next Big Thing for Business by Paul Jarvis
"Think and Grow Rich!: The Original Version, Restored and Revised™ by Napoleon Hill, Ross Cornwell"
The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life: Before 8AM by Hal Elrod
Bigger Leaner Stronger: The Simple Science of Building the Ultimate Male Body by Michael Matthews
"Build Your Running Body. A Total-body Fitness Plan For All Distance Runners, From Milers to Ultramarathoners — Run Farther, Faster, and Injury-Free by Melissa Breyer, Pete Magill, Thomas Schwartz"
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change by Stephen R. Covey
Getting Things Done: The Art of Stress-Free Productivity by David Allen
"The 4-Hour Body: An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and Becoming Superhuman by Timothy Ferriss"
Unf**k Yourself: Get Out of Your Head and into Your Life by Gary John Bishop
How to Win Friends and Influence People in the Digital Age by Dale Carnegie & Associates
Why Men Love Bitches. From Doormat to Dreamgirl — A Woman's Guide to Holding Her Own in a Relationship by Sherry Argov
Start With Why: How Great Leaders Inspire Everyone to Take Action by Simon Sinek
Get the Guy: Learn Secrets of the Male Mind to Find the Man You Want and the Love You Deserve by Matthew Hussey
"Think Like an Entrepreneur, Act Like a CEO: 50 Indispensable Tips to Help You Stay Afloat, Bounce Back, and Get Ahead at Work by Beverly E. Jones"
"Zero to One: Notes on Startups, or How to Build the Future by Peter Thiel, Blake Masters"
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich by Timothy Ferriss"
"Never Split the Difference: Negotiating as if Your Life Depended on It by Chris Voss, Tahl Raz"
"Tiger Woods by Jeff Benedict, Armen Keteyian"
"The Fast Diet: Lose Weight, Stay Healthy and Live Longer with the Simple Secret of Intermittent Fasting by Michael Mosley, Mimi Spencer"
Thinner Leaner Stronger: The Simple Science of Building the Ultimate Female Body by Michael Matthews
The 80/20 Principle: The Secret to Achieving More with Less by Richard Koch
"The Whole 30: The 30 Day Guide to Total Health and Food Freedom by Melissa Hartwig, Dallas Hartwig"
Why We Sleep: Unlocking the Power of Sleep and Dreams by Matthew Walker and Steve West
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment by Steve Harvey"
"He's Just Not That Into You: The No-Excuses Truth to Understanding Guys by Greg Behrendt, Liz Tuccillo"
"Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex by John Gray"
"Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and Be More Productive by Kevin Horsley"
